titulo,tipo,categoria,descripcion,telefono,direccion,rating,cantidad_reviews,url,nivel_precio,quality_score,verificado,estado_actual,latitud,longitud
La Cátedra Restaurante,Restaurante,Restaurant,,5491147774601.0,"Av. Cerviño 4699, C1425AHQ Cdad. Autónoma de Buenos Aires",4.0,2652,https://www.instagram.com/lacatedrarestaurante/,moderate,31.53378541655096,True,open,-34.5750034,-58.4233227
Hache Almacén,Bar,Wine bar,"-Bar de picadas Premium, tapas y vinos boutique.
-Amplia carta de vinos de todo el país.
-Opciones veganas
-Amplia carta gluten free
-Cervezas artesanales, tragos
-Focaccia casera y todo se prepara a la vista,super fresco
-Agua filtrada libre
-Velas en las mesas, ambiente super cálido",5491126530640.0,"Cnel. Niceto Vega 5191, C1425BQE C1425BQE, Cdad. Autónoma de Buenos Aires",4.5,1100,https://www.instagram.com/hachealmacen/?hl=es,moderate,31.51788361525206,True,close,-34.5896603,-58.4349778
Bicho Café de Especialidad Recoleta,Cafetería,Cafetería,Café de especialidad,,"Agüero 2039, C1425 Cdad. Autónoma de Buenos Aires",4.5,1066,,moderate,31.37672813085789,True,close,-34.588395999999996,-58.4026213
Congo Club Cultural,Bar,Bar,"El jardín más lindo de Palermo, pizzas al horno de barro, tapas, cerveza tirada, tragos de autor y buena música",5491161859368.0,"Honduras 5329, C1414 Cdad. Autónoma de Buenos Aires",4.2,1736,http://www.congoclubcultural.com.ar/,expensive,31.33164201821264,True,close,-34.586498999999996,-58.433111
El Cocilón del Clú,Cafetería,Argentinian restaurant,,5491145532484.0,"Calle Gral Emilio Conesa 1299, C1426AQY Cdad. Autónoma de Buenos Aires",4.0,2505,http://www.facebook.com/ElCocilondelClu,moderate,31.305772541824055,True,open,-34.5715383,-58.4542736
Pottery Coffee & Deli,Cafetería,Cafe,,,"Gorriti 5737, C1414 BKG, Cdad. Autónoma de Buenos Aires",4.2,1724,http://www.nicolaspottery.com/,moderate,31.302525783754934,True,close,-34.5837814,-58.4385446
AJ Dulcinea Pizza Café Bar,Restaurante,Pizza restaurant,"Es un Restaurante familiar, que esta ubicado frente a Plaza Italia hace 39 años.
Nuestra especialidad es que la comida se cocina en el momento, los productos se elaboran en el local por nosotros mismos tanto como la pasta, el pan, etc; nada es preelaborado.
Nuestro propósito como empresa es satisfacer a nuestros clientes y que disfruten lo que coman. Su opinión es importante para mejorar día a día.",,"Av. Sta. Fe 4130, C1425 Cdad. Autónoma de Buenos Aires",4.1,2061,https://www.facebook.com/AJDulcinea/,moderate,31.28886982476531,True,open,-34.5817167,-58.4212036
Baradentro Gin Tonic Club,Bar,Cocktail bar,Primer y unico gin tonic club de Bs As.,5491157139700.0,"Julián Álvarez 1124, C1414 Cdad. Autónoma de Buenos Aires",4.4,1215,https://www.instagram.com/baradentro_/,moderate,31.254617075114897,True,close,-34.5952281,-58.4278787
Isabel,Bar,Bar,,5491148346969.0,"Uriarte 1664, C1414 Cdad. Autónoma de Buenos Aires",4.3,1426,http://www.isabelbar.com/,moderate,31.232317355150396,True,close,-34.5869326,-58.4315426
La Calle Bar 2,Bar,Bar,Bar Clandestino detras de emblematica pizzeria porteña. Sucursal Villa Crespo.,5491127907741.0,"Gurruchaga 732, C1414 Cdad. Autónoma de Buenos Aires",4.4,1199,http://www.lacallebar.com/,,31.196338077414808,True,close,-34.5953526,-58.4388565
Tonno Cañitas,Cafetería,Pizza restaurant,"No se toman pedidos por Google.
Contactos en la bio de instagram
@tonnopizza",5491147760360.0,"Arce 401, C1426 Cdad. Autónoma de Buenos Aires",4.2,1665,http://www.tonnopizza.com.ar/,moderate,31.15635945545251,True,open,-34.5704476,-58.431585299999995
El Estanciero,Bar,Argentinian restaurant,"Bienvenido a El Estanciero, la icónica parrilla de Buenos Aires desde 1999.

Nos enorgullece ofrecer los cortes de carne más exquisitos cocinados en nuestra parrilla a leña, junto con una variedad de platos tradicionales argentinos.

Nuestro elegante ambiente es ideal para cenas románticas, reuniones familiares y eventos especiales. Además, ofrecemos opciones vegetarianas y menús especiales.

Nuestra dedicación a la calidad y el servicio excepcional nos convierte en un referente en la escena gastronómica de Buenos Aires.",5491134017603.0,"Báez 202, C1426BRD Cdad. Autónoma de Buenos Aires",4.0,2411,https://elestanciero.com.ar/,moderate,31.152846231388303,True,open,-34.5727411,-58.4301853
la silla electrica,Bar,Bar,"Hola, somos La Silla, el club de comedia más grande de Argentina. ¡Grande por capacidad y grande por edad! Abrimos en el 2015 y al cumplir 10 años decidimos mudarnos de Barrio Norte a Chacarita, a un local más grande.
Llevamos más de 5.000 shows en vivo y tenemos shows todos los días.
La Silla es un excelente lugar para tomar unas cervezas, probar unos tragos o comerte algo rico mientras disfrutás del mejor stand up. Nuestra intención es que vengas, te diviertas con amigos, en pareja o solo, y pases un momento inolvidable con nosotros.
Por algo La Silla es el lugar preferido de los comediantes.
Podés seguirnos en IG @lasillaelectricacomedy para buscar el show que quieras y sacar tus entradas.
Nos vemos pronto.",5491121675008.0,"Bonpland 800, C1414CMB Cdad. Autónoma de Buenos Aires",4.4,1179,,moderate,31.122386756822728,True,open,-34.5902901,-58.446178
Overo Bar de Copas,Bar,Bar,"Ustedes conocerán este nuevo espacio, Entre todos lo convertiremos en un lugar de comunión y unión donde irán y volverán a probar infinidad de vinos; En el medio de la ciudad, en Palermo Viejo, donde además tendremos raciones de la región, quesos, panes y charcutería bien elegida.
OVERO también es un club privado, fundado por amantes del vino, para amantes del vino, expertos o principiantes y para aquellos que deseen acercarse a vivir la experiencia.
Todo esta pensado con el fin de emocionarte, cautivarte y desafiarte. Nuestra intención es que lo hagas propio, que seas parte, creamos un espacio con pasión y conocimiento,
Los miembros contaran con beneficios, invitaciones, degustaciones, charlas de vinos, proyecciones, vinos en sus casas…",5491168784583.0,"Nicaragua 4583, C1414 Palermo Viejo, Cdad. Autónoma de Buenos Aires",4.4,1179,http://www.overobar.com/,moderate,31.122386756822728,True,close,-34.588266,-58.4249385
Ainara Helados Veganos,Cafetería,Ice cream shop,"Ainara es un emprendimiento familiar que nació para crear el mejor helado para el mundo: artesanales, veganos, ambientalmente sustentables y saludables. Queremos preservar la tradición del helado, para que aquellos que buscamos dar un cambio en el mundo podamos disfrutar del mejor helado y una gran experiencia familiar, para eso trabajamos todos los días con pasión.",5491157344751.0,"Charcas 4987, C1425 Cdad. Autónoma de Buenos Aires",4.7,745,http://www.ainara.com.ar/,moderate,31.089210320957676,True,close,-34.5793585,-58.4287153
Glück Cervecería - Palermo,Bar,Restaurant,,5491124769680.0,"Nicaragua 4610, C1414BVH Cdad. Autónoma de Buenos Aires",4.4,1168,https://gluckcerveceria.com/,moderate,31.0811774304771,True,close,-34.5880003,-58.425616999999995
Saigon Noodle Bar,Restaurante,Restaurante vietnamita,Restóbar de comida vietnamita,5491145705249.0,"Soler 4388, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.0,2361,http://www.saigonargentina.com/,moderate,31.06905598702923,True,open,-34.5895133,-58.4221296
LA GARAGE,Cafetería,Panadería,"Te invitamos a conocer nuestro garage repleto de delicias para llevar o verendear! Contamos con opciones para almorzar y café de especialidad! Encontrá en nuestro deck un espacio resguardado para charlar con quien más quieras, pasar un ratito de break y disfrutar tus comidas favoritas!",5491180291515.0,"Arévalo 2253, C1425 Cdad. Autónoma de Buenos Aires",4.7,738,https://menu.fu.do/lagarage/qr-menu,moderate,31.044900228456548,True,close,-34.5767157,-58.435422599999995
Biblos Palermo (BULNES),Restaurante,Restaurant,,5491148241304.0,"Bulnes 2201, C1425 Cdad. Autónoma de Buenos Aires",4.1,1938,http://www.instagram.com/biblos.resto,moderate,31.03670338649487,True,open,-34.586394299999995,-58.4103423
